Time,Open,High,Low,Close,Volume,Symbol
2025-05-19 19:20:00,15.634,15.645,15.623,15.628,1116.0,LINKUSDT_UMCBL
2025-05-19 19:25:00,15.628,15.628,15.591,15.598,1756.0,LINKUSDT_UMCBL
2025-05-19 19:30:00,15.598,15.709,15.598,15.698,6050.0,LINKUSDT_UMCBL
2025-05-19 19:35:00,15.698,15.923,15.69,15.825,13934.0,LINKUSDT_UMCBL
2025-05-19 19:40:00,15.825,15.876,15.787,15.787,5980.0,LINKUSDT_UMCBL
2025-05-19 19:45:00,15.787,15.806,15.768,15.79,5571.0,LINKUSDT_UMCBL
2025-05-19 19:50:00,15.79,15.815,15.751,15.767,1493.0,LINKUSDT_UMCBL
2025-05-19 19:55:00,15.767,15.797,15.738,15.794,2579.0,LINKUSDT_UMCBL
2025-05-19 20:00:00,15.794,15.827,15.764,15.827,4625.0,LINKUSDT_UMCBL
2025-05-19 20:05:00,15.827,15.827,15.776,15.777,989.0,LINKUSDT_UMCBL
2025-05-19 20:10:00,15.777,15.777,15.71,15.719,5199.0,LINKUSDT_UMCBL
2025-05-19 20:15:00,15.719,15.796,15.719,15.793,2339.0,LINKUSDT_UMCBL
2025-05-19 20:20:00,15.793,15.831,15.768,15.818,2296.0,LINKUSDT_UMCBL
2025-05-19 20:25:00,15.818,15.85,15.811,15.837,852.0,LINKUSDT_UMCBL
2025-05-19 20:30:00,15.837,15.837,15.797,15.805,608.0,LINKUSDT_UMCBL
2025-05-19 20:35:00,15.805,15.82,15.781,15.795,2540.0,LINKUSDT_UMCBL
2025-05-19 20:40:00,15.795,15.816,15.772,15.778,770.0,LINKUSDT_UMCBL
2025-05-19 20:45:00,15.778,15.8,15.769,15.8,2648.0,LINKUSDT_UMCBL
2025-05-19 20:50:00,15.8,15.82,15.78,15.78,2693.0,LINKUSDT_UMCBL
2025-05-19 20:55:00,15.78,15.78,15.751,15.763,560.0,LINKUSDT_UMCBL
2025-05-19 21:00:00,15.763,15.777,15.756,15.777,303.0,LINKUSDT_UMCBL
2025-05-19 21:05:00,15.777,15.777,15.726,15.737,1312.0,LINKUSDT_UMCBL
2025-05-19 21:10:00,15.737,15.762,15.737,15.761,439.0,LINKUSDT_UMCBL
2025-05-19 21:15:00,15.761,15.761,15.737,15.737,249.0,LINKUSDT_UMCBL
2025-05-19 21:20:00,15.737,15.745,15.735,15.745,77.0,LINKUSDT_UMCBL
2025-05-19 21:25:00,15.745,15.745,15.671,15.674,5997.0,LINKUSDT_UMCBL
2025-05-19 21:30:00,15.674,15.71,15.673,15.71,2536.0,LINKUSDT_UMCBL
2025-05-19 21:35:00,15.71,15.758,15.709,15.758,278.0,LINKUSDT_UMCBL
2025-05-19 21:40:00,15.758,15.758,15.718,15.742,7592.0,LINKUSDT_UMCBL
2025-05-19 21:45:00,15.742,15.773,15.738,15.772,1260.0,LINKUSDT_UMCBL
2025-05-19 21:50:00,15.772,15.794,15.772,15.781,844.0,LINKUSDT_UMCBL
2025-05-19 21:55:00,15.781,15.807,15.778,15.807,437.0,LINKUSDT_UMCBL
2025-05-19 22:00:00,15.807,15.807,15.76,15.76,627.0,LINKUSDT_UMCBL
2025-05-19 22:05:00,15.76,15.767,15.751,15.751,1190.0,LINKUSDT_UMCBL
2025-05-19 22:10:00,15.751,15.754,15.688,15.7,1926.0,LINKUSDT_UMCBL
2025-05-19 22:15:00,15.7,15.706,15.69,15.705,1642.0,LINKUSDT_UMCBL
