2025-05-21 18:52:52,105 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 18:52:57,169 - INFO - Data saved to market_data.csv
2025-05-21 19:12:50,162 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:12:54,800 - INFO - Data saved to market_data.csv
2025-05-21 19:30:48,224 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:30:52,588 - INFO - Data saved to market_data.csv
2025-05-21 19:31:11,111 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:31:14,614 - INFO - Data saved to market_data.csv
2025-05-21 19:32:43,058 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:32:46,267 - INFO - Data saved to market_data.csv
2025-05-21 19:33:49,777 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:33:55,299 - INFO - Data saved to market_data.csv
2025-05-21 19:35:40,222 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:35:44,837 - INFO - Data saved to market_data.csv
2025-05-22 21:10:01,435 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 21:10:05,899 - INFO - Data saved to market_data.csv
2025-05-22 22:16:15,439 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 22:16:18,901 - INFO - Data saved to market_data.csv
2025-05-22 23:27:36,135 - INFO - Starting LHL Pattern Trading Bot...
2025-05-22 23:27:36,137 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-22 23:48:35,169 - INFO - Current Price: 16.82, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:49:05,485 - INFO - Current Price: 16.849, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:49:36,076 - INFO - Current Price: 16.863, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:50:06,413 - INFO - Current Price: 16.852, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:50:36,721 - INFO - Current Price: 16.848, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:51:07,035 - INFO - Current Price: 16.86, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:51:37,347 - INFO - Current Price: 16.864, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:52:07,984 - INFO - Current Price: 16.861, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:52:38,276 - INFO - Current Price: 16.869, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:53:08,591 - INFO - Current Price: 16.878, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:53:38,907 - INFO - Current Price: 16.886, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:54:09,572 - INFO - Current Price: 16.901, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:54:39,930 - INFO - Current Price: 16.906, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:55:10,243 - INFO - Current Price: 16.914, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:55:40,555 - INFO - Current Price: 16.914, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:56:10,870 - INFO - Current Price: 16.902, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:56:41,177 - INFO - Current Price: 16.894, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:57:11,450 - INFO - Current Price: 16.894, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:57:41,788 - INFO - Current Price: 16.894, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:58:12,108 - INFO - Current Price: 16.891, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:58:42,419 - INFO - Current Price: 16.899, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:59:12,728 - INFO - Current Price: 16.894, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:59:43,351 - INFO - Current Price: 16.921, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:00:13,635 - INFO - Current Price: 16.929, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:00:44,286 - INFO - Current Price: 16.94, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:01:14,589 - INFO - Current Price: 16.934, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:01:45,209 - INFO - Current Price: 16.933, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:02:15,519 - INFO - Current Price: 16.933, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:02:45,941 - INFO - Current Price: 16.935, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:03:16,247 - INFO - Current Price: 16.935, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:03:46,555 - INFO - Current Price: 16.928, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:04:16,820 - INFO - Current Price: 16.927, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:04:47,485 - INFO - Current Price: 16.922, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:05:17,804 - INFO - Current Price: 16.912, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:05:48,108 - INFO - Current Price: 16.912, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:06:18,376 - INFO - Current Price: 16.93, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:06:48,640 - INFO - Current Price: 16.93, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:07:18,940 - INFO - Current Price: 16.951, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:07:49,209 - INFO - Current Price: 16.973, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:08:19,668 - INFO - Current Price: 16.997, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:08:49,981 - INFO - Current Price: 16.988, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:09:20,261 - INFO - Current Price: 17.003, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:09:50,548 - INFO - Current Price: 16.999, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:10:20,910 - INFO - Current Price: 16.978, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:10:51,529 - INFO - Current Price: 16.991, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:11:21,839 - INFO - Current Price: 16.982, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:11:52,217 - INFO - Current Price: 16.988, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:12:22,568 - INFO - Current Price: 16.981, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:12:52,875 - INFO - Current Price: 16.981, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:13:23,187 - INFO - Current Price: 16.979, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:13:53,604 - INFO - Current Price: 16.959, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:14:24,015 - INFO - Current Price: 16.963, Position: No, S1: 16.634, R1: 16.798
